,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
110,DT,29,29,22,14,21,30,30,22,14,21,0.5882352941176471,0.6111111111111112,0.6818181818181818,0.5116279069767442
111,DT,30,30,1,22,21,76,76,1,22,21,0.7835051546391752,0.043478260869565216,0.7755102040816326,0.045454545454545456
112,DT,31,31,46,45,10,24,24,46,45,10,0.7058823529411765,0.5054945054945055,0.34782608695652173,0.8214285714285714
113,DT,32,32,9,42,0,19,19,9,42,0,1.0,0.17647058823529413,0.3114754098360656,1.0
114,DT,33,33,38,29,46,1,1,38,29,46,0.02127659574468085,0.5671641791044776,0.03333333333333333,0.4523809523809524
115,DT,34,34,57,19,5,11,11,57,19,5,0.6875,0.75,0.36666666666666664,0.9193548387096774
116,DT,35,35,29,4,87,34,34,29,4,87,0.2809917355371901,0.8787878787878788,0.8947368421052632,0.25
117,DT,36,36,5,73,0,64,64,5,73,0,1.0,0.0641025641025641,0.46715328467153283,1.0
118,DT,37,37,14,75,0,74,74,14,75,0,1.0,0.15730337078651685,0.4966442953020134,1.0
119,DT,38,38,24,12,0,65,65,24,12,0,1.0,0.6666666666666666,0.8441558441558441,1.0
120,DT,39,39,15,12,2,60,60,15,12,2,0.967741935483871,0.5555555555555556,0.8333333333333334,0.8823529411764706
121,DT,40,40,356,66,16,38,38,356,66,16,0.7037037037037037,0.8436018957345972,0.36538461538461536,0.956989247311828
122,DT,41,41,17,25,3,53,53,17,25,3,0.9464285714285714,0.40476190476190477,0.6794871794871795,0.85
